pump_id,timestamp,vibration_rms_g,vibration_peak_freq_hz,temperature_c,acoustic_level_db,current_draw_a,vibration_rms_roll_mean_6h,vibration_rms_roll_std_6h,RUL_days,right_censored,failure_mode_label,anomaly_label,data_split
PUMP_01,2026-03-06 10:00:00,0.1505,47.77,34.56,59.88,3.974,0.1585,0.0124,84.58,True,Normal,0,train
PUMP_01,2026-03-06 11:00:00,0.1485,48.11,34.52,56.62,3.828,0.153,0.006,84.54,True,Normal,0,train
PUMP_01,2026-03-06 12:00:00,0.1486,50.0,35.61,58.78,3.974,0.1517,0.0059,84.5,True,Normal,0,train
PUMP_01,2026-03-06 13:00:00,0.1557,51.8,34.73,59.46,3.982,0.1518,0.006,84.46,True,Normal,0,train
PUMP_01,2026-03-06 14:00:00,0.1365,49.96,33.95,59.68,3.836,0.1503,0.0085,84.42,True,Normal,0,train
PUMP_01,2026-03-06 15:00:00,0.1313,48.81,33.45,57.08,4.004,0.1452,0.0093,84.38,True,Normal,0,train
PUMP_01,2026-03-06 16:00:00,0.1478,46.78,33.84,58.79,3.914,0.1447,0.009,84.33,True,Normal,0,train
PUMP_01,2026-03-06 17:00:00,0.095,51.43,33.8,58.09,4.052,0.1358,0.0219,84.29,True,Normal,0,train
PUMP_01,2026-03-06 18:00:00,0.1309,48.9,34.31,60.22,3.98,0.1329,0.021,84.25,True,Normal,0,train
PUMP_01,2026-03-06 19:00:00,0.1231,48.28,33.58,56.34,4.157,0.1274,0.0179,84.21,True,Normal,0,train
PUMP_01,2026-03-06 20:00:00,0.1594,47.43,34.72,57.08,3.98,0.1312,0.0221,84.17,True,Normal,0,train
PUMP_01,2026-03-06 21:00:00,0.1363,47.84,33.17,55.83,4.034,0.1321,0.0222,84.12,True,Normal,0,train
PUMP_01,2026-03-06 22:00:00,0.1366,48.56,33.02,58.17,3.983,0.1302,0.0211,84.08,True,Normal,0,train
PUMP_01,2026-03-06 23:00:00,0.1467,49.64,33.92,60.72,3.87,0.1388,0.0127,84.04,True,Normal,0,train
PUMP_01,2026-03-07 00:00:00,0.1411,48.19,33.49,57.95,3.984,0.1405,0.0121,84.0,True,Normal,0,train
PUMP_01,2026-03-07 01:00:00,0.1465,50.28,33.25,58.12,4.06,0.1444,0.0086,83.96,True,Normal,0,train
PUMP_01,2026-03-07 02:00:00,0.1565,49.63,33.62,58.66,4.048,0.144,0.0076,83.92,True,Normal,0,train
PUMP_01,2026-03-07 03:00:00,0.1507,53.33,33.54,57.86,3.977,0.1464,0.007,83.88,True,Normal,0,train
PUMP_01,2026-03-07 04:00:00,0.1522,47.44,34.01,58.44,3.883,0.149,0.0054,83.83,True,Normal,0,train
PUMP_01,2026-03-07 05:00:00,0.1445,50.24,33.63,58.47,4.052,0.1486,0.0056,83.79,True,Normal,0,train
PUMP_01,2026-03-07 06:00:00,0.1427,50.26,33.68,56.99,4.034,0.1488,0.0052,83.75,True,Normal,0,train
PUMP_01,2026-03-07 07:00:00,0.1606,48.45,34.0,57.89,4.067,0.1512,0.0069,83.71,True,Normal,0,train
PUMP_01,2026-03-07 08:00:00,0.1633,50.14,34.61,58.89,3.978,0.1523,0.0083,83.67,True,Normal,0,train
PUMP_01,2026-03-07 09:00:00,0.1356,51.15,34.88,59.11,3.865,0.1498,0.0108,83.62,True,Normal,0,train
PUMP_01,2026-03-07 10:00:00,0.1664,50.14,34.09,59.56,4.043,0.1522,0.0128,83.58,True,Normal,0,train
PUMP_01,2026-03-07 11:00:00,0.164,52.08,34.14,58.4,3.999,0.1554,0.0129,83.54,True,Normal,0,train
PUMP_01,2026-03-07 12:00:00,0.1646,46.73,33.89,58.43,4.111,0.1591,0.0117,83.5,True,Normal,0,train
PUMP_01,2026-03-07 13:00:00,0.1519,48.74,34.29,58.9,4.002,0.1576,0.012,83.46,True,Normal,0,train
PUMP_01,2026-03-07 14:00:00,0.1546,52.21,34.23,57.29,3.996,0.1562,0.0117,83.42,True,Normal,0,train
PUMP_01,2026-03-07 15:00:00,0.1757,51.37,34.8,57.24,4.033,0.1629,0.0086,83.38,True,Normal,0,train
PUMP_01,2026-03-07 16:00:00,0.1368,50.81,32.87,57.85,3.952,0.1579,0.0133,83.33,True,Normal,0,train
PUMP_01,2026-03-07 17:00:00,0.1247,51.85,33.86,56.47,3.948,0.1514,0.0184,83.29,True,Normal,0,train
PUMP_01,2026-03-07 18:00:00,0.117,47.13,34.2,58.49,3.992,0.1434,0.0216,83.25,True,Normal,0,train
PUMP_01,2026-03-07 19:00:00,0.1667,51.19,33.98,59.26,3.926,0.1459,0.0235,83.21,True,Normal,0,train
PUMP_01,2026-03-07 20:00:00,0.1679,51.6,33.44,57.15,3.982,0.1481,0.0251,83.17,True,Normal,0,train
PUMP_01,2026-03-07 21:00:00,0.1291,49.01,33.22,58.52,4.155,0.1404,0.0218,83.12,True,Normal,0,train
PUMP_01,2026-03-07 22:00:00,0.1341,53.94,34.48,57.25,4.083,0.1399,0.0219,83.08,True,Normal,0,train
PUMP_01,2026-03-07 23:00:00,0.1426,50.29,33.55,56.78,4.025,0.1429,0.0206,83.04,True,Normal,0,train
PUMP_01,2026-03-08 00:00:00,0.1684,46.71,32.95,60.47,4.124,0.1515,0.0183,83.0,True,Normal,0,train
PUMP_01,2026-03-08 01:00:00,0.1333,50.57,34.51,56.8,3.934,0.1459,0.0178,82.96,True,Normal,0,train
PUMP_01,2026-03-08 02:00:00,0.1255,48.92,34.28,56.46,4.199,0.1388,0.0156,82.92,True,Normal,0,train
PUMP_01,2026-03-08 03:00:00,0.1896,51.75,33.93,58.26,3.963,0.1489,0.0248,82.88,True,Normal,0,train
PUMP_01,2026-03-08 04:00:00,0.1633,50.82,33.45,58.32,4.16,0.1538,0.0242,82.83,True,Normal,0,train
PUMP_01,2026-03-08 05:00:00,0.1665,49.1,33.93,58.8,4.16,0.1578,0.024,82.79,True,Normal,0,train
PUMP_01,2026-03-08 06:00:00,0.1569,52.25,34.73,60.4,3.86,0.1558,0.0234,82.75,True,Normal,0,train
PUMP_01,2026-03-08 07:00:00,0.1666,51.41,33.03,57.07,4.117,0.1614,0.0208,82.71,True,Normal,0,train
PUMP_01,2026-03-08 08:00:00,0.1359,48.76,33.06,57.31,3.977,0.1631,0.0173,82.67,True,Normal,0,train
PUMP_01,2026-03-08 09:00:00,0.1445,49.77,33.62,59.93,3.955,0.1556,0.0127,82.62,True,Normal,0,train
PUMP_01,2026-03-08 10:00:00,0.1566,50.78,33.98,59.13,4.042,0.1545,0.0122,82.58,True,Normal,0,train
PUMP_01,2026-03-08 11:00:00,0.1185,49.45,33.7,58.96,3.919,0.1465,0.0174,82.54,True,Normal,0,train
PUMP_01,2026-03-08 12:00:00,0.1455,49.5,34.39,57.29,4.04,0.1446,0.0166,82.5,True,Normal,0,train
PUMP_01,2026-03-08 13:00:00,0.1419,50.06,34.65,59.35,3.925,0.1405,0.0127,82.46,True,Normal,0,train
PUMP_01,2026-03-08 14:00:00,0.1405,48.4,34.17,58.96,4.014,0.1413,0.0125,82.42,True,Normal,0,train
PUMP_01,2026-03-08 15:00:00,0.1347,46.65,34.34,58.23,4.107,0.1396,0.0126,82.38,True,Normal,0,train
PUMP_01,2026-03-08 16:00:00,0.1264,50.36,34.16,57.3,4.031,0.1346,0.0103,82.33,True,Normal,0,train
PUMP_01,2026-03-08 17:00:00,0.113,47.02,34.01,58.13,3.971,0.1337,0.0121,82.29,True,Normal,0,train
PUMP_01,2026-03-08 18:00:00,0.1422,48.51,33.22,59.98,4.043,0.1331,0.0115,82.25,True,Normal,0,train
PUMP_01,2026-03-08 19:00:00,0.1358,47.34,33.38,56.69,3.887,0.1321,0.0109,82.21,True,Normal,0,train
PUMP_01,2026-03-08 20:00:00,0.1207,47.53,33.19,57.04,3.933,0.1288,0.0108,82.17,True,Normal,0,train
PUMP_01,2026-03-08 21:00:00,0.1439,50.64,33.91,57.25,3.966,0.1303,0.0124,82.12,True,Normal,0,train
PUMP_01,2026-03-08 22:00:00,0.1406,49.67,34.14,57.51,4.063,0.1327,0.0128,82.08,True,Normal,0,train
PUMP_01,2026-03-08 23:00:00,0.1405,49.61,33.13,57.98,4.032,0.1373,0.0086,82.04,True,Normal,0,train
PUMP_01,2026-03-09 00:00:00,0.1176,48.03,34.04,59.15,4.043,0.1332,0.0112,82.0,True,Normal,0,train
PUMP_01,2026-03-09 01:00:00,0.1628,49.02,33.47,58.55,3.998,0.1377,0.0166,81.96,True,Normal,0,train
PUMP_01,2026-03-09 02:00:00,0.1365,50.56,33.36,58.07,3.937,0.1403,0.0145,81.92,True,Normal,0,train
PUMP_01,2026-03-09 03:00:00,0.158,49.92,33.62,58.33,4.119,0.1427,0.0162,81.88,True,Normal,0,train
PUMP_01,2026-03-09 04:00:00,0.1465,51.23,33.33,58.75,3.944,0.1436,0.0163,81.83,True,Normal,0,train
PUMP_01,2026-03-09 05:00:00,0.1538,51.45,34.36,55.98,4.034,0.1459,0.0166,81.79,True,Normal,0,train
PUMP_01,2026-03-09 06:00:00,0.1773,49.62,33.9,59.29,3.991,0.1558,0.014,81.75,True,Normal,0,train
PUMP_01,2026-03-09 07:00:00,0.1676,47.22,34.49,57.01,4.045,0.1566,0.0146,81.71,True,Normal,0,train
PUMP_01,2026-03-09 08:00:00,0.1756,48.87,33.73,57.47,3.952,0.1631,0.0124,81.67,True,Normal,0,train
PUMP_01,2026-03-09 09:00:00,0.162,49.85,33.76,58.41,4.084,0.1638,0.0122,81.62,True,Normal,0,train
PUMP_01,2026-03-09 10:00:00,0.1609,48.84,35.12,57.91,4.11,0.1662,0.0091,81.58,True,Normal,0,train
PUMP_01,2026-03-09 11:00:00,0.1259,48.42,33.03,58.58,4.079,0.1616,0.0187,81.54,True,Normal,0,train
PUMP_01,2026-03-09 12:00:00,0.1452,50.1,34.77,58.17,4.013,0.1562,0.0179,81.5,True,Normal,0,train
PUMP_01,2026-03-09 13:00:00,0.144,53.65,34.99,57.65,3.965,0.1523,0.0175,81.46,True,Normal,0,train
PUMP_01,2026-03-09 14:00:00,0.1634,49.27,34.46,59.83,4.226,0.1502,0.0147,81.42,True,Normal,0,train
PUMP_01,2026-03-09 15:00:00,0.1353,50.0,33.8,58.85,3.921,0.1458,0.0145,81.38,True,Normal,0,train
PUMP_01,2026-03-09 16:00:00,0.1453,48.03,34.86,58.36,4.07,0.1432,0.0125,81.33,True,Normal,0,train
PUMP_01,2026-03-09 17:00:00,0.1437,51.87,33.81,58.83,4.027,0.1462,0.0092,81.29,True,Normal,0,train
PUMP_01,2026-03-09 18:00:00,0.1574,51.31,33.58,57.15,3.995,0.1482,0.0103,81.25,True,Normal,0,train
PUMP_01,2026-03-09 19:00:00,0.1383,51.21,33.77,60.61,4.015,0.1472,0.011,81.21,True,Normal,0,train
